name,issn,licence
452º F : Revista de Teoría de la Literatura y Literatura Comparada,20133294,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
@tic : Revista d'Innovació Educativa,19893477,http://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
A Parte Rei : Revista de Filosofia,11378204,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Abraham Zelmanov Journal,16549163,http://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Abstract and Applied Analysis,10853375,http://creativecommons.org/licenses/by/3.0/legalcode
Acta Amazonica,00445967,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Botanica Brasilica,01023306,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Cirurgica Brasileira,01028650,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Crystallographica Section E,16005368,http://creativecommons.org/licenses/by/3.0/legalcode
Acta Electrotechnica et Informatica ,13358243,http://creativecommons.org/licenses/by/3.0/legalcode
Acta Linguistica,13132296,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Linguistica Asiatica,22323317,http://creativecommons.org/licenses/by/3.0/legalcode
Acta Medica Iranica,00446025,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Medica Martiniana ,13358421,http://creativecommons.org/licenses/by/3.0/legalcode
Acta Medica Saliniana,0350364X,http://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Acta Ortopédica Brasileira,14137852,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Paulista de Enfermagem,01032100,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Pediátrica Portuguesa ,08739781,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Acta Scientiarum : Agronomy,16799275,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Scientiarum : Animal Sciences,18062636,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Scientiarum : Biological Sciences,16799283,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Scientiarum : Education,21785198,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Scientiarum : Health Sciences,16799291,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Scientiarum : Human and Social Sciences,16797361,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Scientiarum : Language and Culture,19834675,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Scientiarum : Technology,18078664,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Societatis Botanicorum Poloniae,00016977,http://creativecommons.org/licenses/by/3.0/legalcode
Acta Universitaria,01886266,http://creativecommons.org/licenses/by/3.0/legalcode
Acta Universitatis Palackianae Olomucensis : Gymnica,12121185,http://creativecommons.org/licenses/by/3.0/legalcode
Acta Veterinaria Scandinavica,17510147,http://creativecommons.org/licenses/by/3.0/legalcode
Active and Passive Electronic Components,08827516,http://creativecommons.org/licenses/by/3.0/legalcode
Ad Alta : Journal of Interdisciplinary Research,18047890,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Advances in Acoustics and Vibration,16876261,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Artificial Intelligence,16877470,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Artificial Neural Systems,16877594,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Astronomy,16877969,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Bioinformatics,16878027,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Business-Related Scientific Research Journal,1855931X,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Civil Engineering,16878086,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Computational Research,09753273,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Condensed Matter Physics,16878108,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Decision Sciences,20903359,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Difference Equations,16871839,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Electrical and Computer Engineering,15827445,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Advances in Electrical and Electronic Engineering,13361376,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Fuzzy Systems,16877101,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Geosciences,16807340,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Hematology ,16879104,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in High Energy Physics,16877357,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Human-Computer Interaction,16875893,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Information Mining,09753265,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Materials Science,17302439,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Materials Science and Engineering,16878434,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Mathematical Physics ,16879120,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Mechanical Engineering,16878132,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Meteorology,16879309,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Multimedia,16875680,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Natural Science,17157862,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Advances in Numerical Analysis,16879562,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Operations Research,16879147,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Optical Technologies,16876393,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in OptoElectronics,1687563X,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Orthopedics,20903464,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Petroleum Exploration and Development,1925542X,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Advances in Pharmacological Sciences,16876334,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Physical Chemistry,16877985,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Power Electronics,2090181X,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Preventive Medicine,20903480,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Radio Science : Kleinheubacher Berichte,16849965,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Science and Research,19920628,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Software Engineering,16878655,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Tribology,16875915,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Urology,16876369,http://creativecommons.org/licenses/by/3.0/legalcode
Africa Spectrum,00020397,http://creativecommons.org/licenses/by-nd/3.0/legalcode
African Journal of Paediatric Surgery,01896725,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
African Journal of Primary Health Care &amp; Family Medicine,20712928,http://creativecommons.org/licenses/by/3.0/legalcode
Ageing Research ,20367384,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Ágora para la Educación Física y el Deporte,15782174,http://creativecommons.org/licenses/by/3.0/legalcode
Agriculture,05513677,http://creativecommons.org/licenses/by/3.0/legalcode
Agriculture &amp; Food Security,20487010,http://creativecommons.org/licenses/by/3.0/legalcode
Agro-Ciencia : Chilean Journal of Agricultural Sciences,07161689,http://creativecommons.org/licenses/by/3.0/legalcode
AIBR : Revista de Antropología Iberoamericana,16959752,http://creativecommons.org/licenses/by-nd/3.0/legalcode
AIDS Research and Therapy,17426405,http://creativecommons.org/licenses/by/3.0/legalcode
AIDS Research and Treatment,20901240,http://creativecommons.org/licenses/by/3.0/legalcode
AIP Advances,21583226,http://creativecommons.org/licenses/by/3.0/legalcode
"Air, Soil and Water Research",11786221,http://creativecommons.org/licenses/by/3.0/legalcode
