name,issn,licence
Abstract and Applied Analysis,10853375,http://creativecommons.org/licenses/by/3.0/legalcode
Acta Crystallographica Section E,16005368,http://creativecommons.org/licenses/by/3.0/legalcode
Acta Electrotechnica et Informatica ,13358243,http://creativecommons.org/licenses/by/3.0/legalcode
Acta Linguistica Asiatica,22323317,http://creativecommons.org/licenses/by/3.0/legalcode
Acta Medica Martiniana ,13358421,http://creativecommons.org/licenses/by/3.0/legalcode
Acta Societatis Botanicorum Poloniae,16977,http://creativecommons.org/licenses/by/3.0/legalcode
Acta Universitaria,1886266,http://creativecommons.org/licenses/by/3.0/legalcode
Acta Universitatis Palackianae Olomucensis : Gymnica,12121185,http://creativecommons.org/licenses/by/3.0/legalcode
Acta Veterinaria Scandinavica,17510147,http://creativecommons.org/licenses/by/3.0/legalcode
Active and Passive Electronic Components,8827516,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Acoustics and Vibration,16876261,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Artificial Intelligence,16877470,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Artificial Neural Systems,16877594,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Astronomy,16877969,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Bioinformatics,16878027,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Business-Related Scientific Research Journal,1855931X,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Civil Engineering,16878086,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Computational Research,9753273,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Condensed Matter Physics,16878108,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Decision Sciences,20903359,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Difference Equations,16871839,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Electrical and Electronic Engineering,13361376,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Fuzzy Systems,16877101,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Geosciences,16807340,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Hematology ,16879104,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in High Energy Physics,16877357,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Human-Computer Interaction,16875893,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Information Mining,9753265,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Materials Science,17302439,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Materials Science and Engineering,16878434,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Mathematical Physics ,16879120,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Mechanical Engineering,16878132,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Meteorology,16879309,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Multimedia,16875680,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Numerical Analysis,16879562,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Operations Research,16879147,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Optical Technologies,16876393,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in OptoElectronics,1687563X,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Orthopedics,20903464,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Pharmacological Sciences,16876334,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Physical Chemistry,16877985,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Power Electronics,2090181X,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Preventive Medicine,20903480,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Radio Science : Kleinheubacher Berichte,16849965,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Science and Research,19920628,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Software Engineering,16878655,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Tribology,16875915,http://creativecommons.org/licenses/by/3.0/legalcode
Advances in Urology,16876369,http://creativecommons.org/licenses/by/3.0/legalcode
African Journal of Primary Health Care &amp; Family Medicine,20712928,http://creativecommons.org/licenses/by/3.0/legalcode
Ágora para la Educación Física y el Deporte,15782174,http://creativecommons.org/licenses/by/3.0/legalcode
Agriculture,5513677,http://creativecommons.org/licenses/by/3.0/legalcode
Agriculture &amp; Food Security,20487010,http://creativecommons.org/licenses/by/3.0/legalcode
Agro-Ciencia : Chilean Journal of Agricultural Sciences,7161689,http://creativecommons.org/licenses/by/3.0/legalcode
AIDS Research and Therapy,17426405,http://creativecommons.org/licenses/by/3.0/legalcode
AIDS Research and Treatment,20901240,http://creativecommons.org/licenses/by/3.0/legalcode
AIP Advances,21583226,http://creativecommons.org/licenses/by/3.0/legalcode
"Air, Soil and Water Research",11786221,http://creativecommons.org/licenses/by/3.0/legalcode
Akademeia,19231504,http://creativecommons.org/licenses/by/3.0/legalcode
Alasbimn Journal,7174055,http://creativecommons.org/licenses/by/3.0/legalcode
Albanian Journal of Mathematics,19301235,http://creativecommons.org/licenses/by/3.0/legalcode
Algorithms,19994893,http://creativecommons.org/licenses/by/3.0/legalcode
Algorithms for Molecular Biology,17487188,http://creativecommons.org/licenses/by/3.0/legalcode
"Algoritmy, Metody i Sistemy Obrabotki Dannyh",22204229,http://creativecommons.org/licenses/by/3.0/legalcode
Alimentos e Nutrição ,1034235,http://creativecommons.org/licenses/by/3.0/legalcode
"Allergy, Asthma &amp; Clinical Immunology",17101484,http://creativecommons.org/licenses/by/3.0/legalcode
AMB Express,21910855,http://creativecommons.org/licenses/by/3.0/legalcode
American Chemical Science Journal,22490205,http://creativecommons.org/licenses/by/3.0/legalcode
American Journal of Experimental Agriculture,22310606,http://creativecommons.org/licenses/by/3.0/legalcode
"Analele Universitatii din Craiova : Seria Agricultura, Montanologie, Cadastru",18418317,http://creativecommons.org/licenses/by/3.0/legalcode
Analytical Chemistry Insights,11773901,http://creativecommons.org/licenses/by/3.0/legalcode
Anatolian Journal of Obstetrics &amp; Gynecology,13088254,http://creativecommons.org/licenses/by/3.0/legalcode
Anatomy Research International ,20902743,http://creativecommons.org/licenses/by/3.0/legalcode
Anemia,20901267,http://creativecommons.org/licenses/by/3.0/legalcode
Anesthesiology Research and Practice,16876962,http://creativecommons.org/licenses/by/3.0/legalcode
Animals,20762615,http://creativecommons.org/licenses/by/3.0/legalcode
Animus : Revista Interamericana de Comunicação Midiática,1677907X,http://creativecommons.org/licenses/by/3.0/legalcode
Annales Geophysicae,9927689,http://creativecommons.org/licenses/by/3.0/legalcode
Annals of Clinical Microbiology and Antimicrobials,14760711,http://creativecommons.org/licenses/by/3.0/legalcode
Annals of Dunarea de Jos,1221454X,http://creativecommons.org/licenses/by/3.0/legalcode
Annals of General Psychiatry,1744859X,http://creativecommons.org/licenses/by/3.0/legalcode
Annals of Geophysics,15935213,http://creativecommons.org/licenses/by/3.0/legalcode
Annals of Surgical Innovation and Research,17501164,http://creativecommons.org/licenses/by/3.0/legalcode
Annals of Warsaw University of Life Sciences - SGGW : Land Reclamation,18988857,http://creativecommons.org/licenses/by/3.0/legalcode
Annual Review &amp; Research in Biology,22314776,http://creativecommons.org/licenses/by/3.0/legalcode
Anthropological Notebooks,1408032X,http://creativecommons.org/licenses/by/3.0/legalcode
Anthropological Review,18986773,http://creativecommons.org/licenses/by/3.0/legalcode
Antimicrobial Resistance and Infection Control ,20472994,http://creativecommons.org/licenses/by/3.0/legalcode
