name,issn,licence
Acta Amazonica,00445967,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Botanica Brasilica,01023306,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Cirurgica Brasileira,01028650,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Linguistica,13132296,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Medica Iranica,00446025,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Ortopédica Brasileira,14137852,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Paulista de Enfermagem,01032100,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Scientiarum : Agronomy,16799275,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Scientiarum : Animal Sciences,18062636,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Scientiarum : Biological Sciences,16799283,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Scientiarum : Education,21785198,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Scientiarum : Health Sciences,16799291,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Scientiarum : Human and Social Sciences,16797361,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Scientiarum : Language and Culture,19834675,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Acta Scientiarum : Technology,18078664,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Advances in Electrical and Computer Engineering,15827445,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Advances in Natural Science,17157862,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Advances in Petroleum Exploration and Development,1925542X,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Ageing Research ,20367384,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Al Ameen Journal of Medical Sciences ,09741143,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Al-Qantara : Revista de Estudios Arabes,02113589,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Alea : Estudos Neolatinos,1517106X,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Alternative Medicine Studies,20389477,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Ambiente &amp; Sociedade,1414753X,http://creativecommons.org/licenses/by-nc/3.0/legalcode
American Journal of Cancer Research,21566976,http://creativecommons.org/licenses/by-nc/3.0/legalcode
American Journal of Cardiovascular Disease,2160200X,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Anais Brasileiros de Dermatologia,03650596,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Anais da Academia Brasileira de Ciencias.,00013765,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Anales del Jardín Botánico de Madrid,02111322,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Animal Biodiversity and Conservation,1578665X,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Annals of Innovation &amp; Entrepreneurship,20007396,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Anthropologist,09720073,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Anuario de Estudios Americanos,02105810,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Anuario de Estudios Medievales,00665061,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Anuario Musical,02113538,http://creativecommons.org/licenses/by-nc/3.0/legalcode
AoB Plants,20412851,http://creativecommons.org/licenses/by-nc/3.0/legalcode
"Arbor : Ciencia, Pensamiento y Cultura",02101963,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Arbutus Review,19231334,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Archaeobios,19965214,http://creativecommons.org/licenses/by-nc/3.0/legalcode
Archivo Español de Arte,00040428,http://creativecommons.org/licenses/by-nc/3.0/legalcode
