name,issn,licence
452º F : Revista de Teoría de la Literatura y Literatura Comparada,20133294,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
A Parte Rei : Revista de Filosofia,11378204,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Acta Pediátrica Portuguesa ,08739781,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Ad Alta : Journal of Interdisciplinary Research,18047890,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
African Journal of Paediatric Surgery,01896725,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Annals of Cardiac Anaesthesia,09719784,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Annals of Indian Academy of Neurology,09722327,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Annals of Pediatric Cardiology,09742069,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Annals of Thoracic Medicine,18171737,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Annals of Tropical Medicine and Public Health,17556783,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
"Archivos de Criminología, Criminalística y Seguridad Privada",20072023,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Asian Journal of Management Research,22293795,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Asian Journal of Pharmaceutics,09738398,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Asian Journal of Transfusion Science,09736247,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
AtoZ : Novas Práticas em Informação e Conhecimento,2237826X,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
"Biotechnologie, Agronomie, Société et Environnement",13706233,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Boletín Biológica,18528864,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Bulletin de l'Institut Francais d'Études Andines,03037495,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Bulletin of Applied Mechanics,18011217,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Carnets de Géologie,17652553,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Chronicles of Young Scientists,09759212,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Community Eye Health Journal,09536833,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Contemporary Clinical Dentistry,0976237X,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Cuadernos de Neuropsicologia,07184123,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Cuadernos de Vivienda y Urbanismo,20272103,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
CytoJournal,09745963,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Dental Hypotheses,21558213,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Diálogos ,14159945,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Didáctica Geográfica,0210492X,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Digital Defoe : Studies in Defoe &amp; His Contemporaries,19481802,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
