quarter,total_deposits,ccby_deposits,ccbync_deposits,ccbyncsa_deposits
Q106,626056,2202,4674,11
Q206,2185865,3828,1570,23
Q306,972799,3225,1992,10
Q406,1520970,3522,2905,12
Q107,1599050,7946,1761,7
Q207,1051372,4514,919,16
Q307,1286758,5639,5142,10
Q407,894978,4534,3827,5
Q108,1198427,4450,2347,4
Q208,851635,5966,2108,15
Q308,677808,5152,2237,8
Q408,1070788,8631,2709,3
Q109,1091441,6349,2432,4115
Q209,941735,6555,2423,717
Q110,747728,8897,9119,906
Q210,931458,24856,3654,1084
Q310,1305506,10755,2694,1269
Q410,1034785,11666,3083,1601
Q111,797630,12861,2525,860
Q211,984947,15101,5624,1628
Q311,1318939,16961,2808,1694
Q411,1576504,18412,3018,1453
Q112,920222,21191,8671,1721
Q212,910206,21532,2992,1345
