name,type,cy,by,ud
AAPG Bulletin,J,22,0,0
Environmental Geosciences,J,46,18,0
Global Resource Estimates from Total Petroleum System,B,10,0,0
Advanced Technology for Learning,J,0,0,425
Control and Intelligent Systems,J,12,0,591
International Journal of Computers and Applications,J,12,0,653
International Journal of Modelling and Simulation,J,13,0,671
International Journal of Power and Energy Systems,J,0,0,495
International Journal of Robotics and Automation,J,0,0,425
SCRIPT-ed,J,17,0,0
Learned Publishing,J,24,0,167
Journal of Failure Analysis &amp; Prevention,J,13,0,0
Journal of Thermal Spray Technology,J,62,0,0
Applied Mechanics Reviews,J,6,0,0
Journal of Applied Mechanics,J,26,0,0
Journal of Biomechanical Engineering,J,16,0,0
Journal of Computational and Nonlinear Dynamics,J,22,0,0
Journal of Computing and Information Science in Engineering,J,15,0,0
Journal of Dynamic Systems Measurement and Control,J,15,0,0
Journal of Electronic Packaging,J,17,0,0
Journal of Energy Resources Technology,J,11,0,0
Journal of Engineering for Gas Turbines and Power,J,38,0,0
Journal of Fluids Engineering,J,45,0,0
Journal of Fuel Cell Science and Technology,J,13,0,0
Journal of Heat Transfer,J,51,0,0
Journal of Manufacturing Science and Engineering,J,27,0,0
Journal of Mechanical Design,J,42,0,0
Journal of Medical Devices,J,14,0,0
Journal of Offshore Mechanics and Arctic Engineering,J,9,0,0
Journal of Pressure Vessel Technology,J,30,0,0
Journal of Solar Energy Engineering,J,20,0,0
Journal of Tribology,J,28,0,0
Journal of Turbomachinery,J,19,0,0
Journal of Vibration and Acoustics,J,30,0,0
Journal of the Acarological Society of Japan,J,5,0,0
The Journal of the Acoustical Society of America,J,494,0,228
Acoustical Science and Technology,J,20,0,0
Acta Dermato-Venereologica,J,48,0,0
Agricultural History,J,7,0,0
Across Languages and Cultures,J,8,0,0
Acta Agronomica Hungarica,J,13,0,14
Acta Alimentaria,J,28,0,0
Acta Antiqua,J,21,0,60
Acta Archaeologica,J,7,0,0
Acta Biologica Hungarica,J,21,0,0
Acta Botanica Hungarica,J,20,0,0
Acta Geodaetica et Geophysica Hungarica,J,7,0,0
Acta Juridica Hungarica,J,6,0,0
Acta Linguistica Hungarica,J,4,0,4
Acta Microbiologica et Immunologica Hungarica,J,8,0,0
Acta Oeconomica,J,14,0,0
Acta Physica Hungarica A) Heavy Ion Physics,J,55,0,0
Acta Physiologica Hungarica,J,28,0,0
Acta Phytopathologica et Entomologica Hungarica,J,22,0,0
Acta Veterinaria Hungarica,J,15,0,0
Akad??miai ??rtes??t??,J,3,0,0
Antik Tanulm??nyok,J,13,0,0
Archaeologiai ??rtesit??,J,15,0,0
Cereal Research Communications,J,190,0,0
Community Ecology,J,0,0,1
European Journal of Mental Health,J,9,0,0
JPC - Journal of Planar Chromatography - Modern TLC,J,189,276,0
Journal of Cultural and Evolutionary Psychology,J,6,0,1
M??v??szett??rt??neti ??rtesit??,J,8,0,0
Magyar Pszichol??giai Szemle,J,15,0,0
Ment??lhigi??n?? es Pszichoszomatika,J,5,0,5
Nanopages,J,17,0,0
Orvosi Hetilap,J,120,0,0
Pollack Periodica,J,25,0,0
Society and Economy,J,9,0,0
Studia Musicologica,J,22,0,0
Studia Scientiarum Mathematicarum Hungarica,J,12,0,3
Studia Slavica,J,15,0,0
T??rsadalom ??s Gazdas??g,J,10,0,0
T??rsadalomkutat??s,J,6,0,0
International Family Planning Perspectives,J,6,0,0
Perspectives on Sexual and Reproductive Health,J,7,8,4
Built Environment,J,18,0,0
Stem Cells,J,93,0,89
The Oncologist,J,27,0,0
Journal of Oral Implantology,J,0,5,370
PEDIATRICS,J,264,37,6777
Journal of Periodontology,J,78,0,0
Cancer Epidemiology Biomarkers &amp; Prevention,J,116,0,0
Cancer Research,J,373,0,10
Clinical Cancer Research,J,262,0,8
Molecular Cancer Research,J,27,0,4
Molecular Cancer Therapeutics,J,121,0,16
Clinical Chemistry,J,130,0,66
Science,J,1197,0,56
Science s STKE,J,113,0,0
American Journal on Mental Retardation,J,8,0,12
Intellectual and Developmental Disabilities,J,25,0,0
Mental Retardation,J,0,0,7
AAPS PharmSciTech,J,24,0,0
The AAPS Journal,J,16,0,0
Medical Physics,J,120,0,0
American Journal of Physics,J,56,16,0
The Physics Teacher,J,128,24,0
The Journal of the American Board of Family Medicine,J,40,0,0
ACS Chemical Biology,J,45,0,25
Accounts of Chemical Research,J,18,0,26
Analytical Chemistry,J,293,45,338
Biochemistry,J,399,1,537
Bioconjugate Chemistry,J,74,0,89
Biomacromolecules,J,137,0,151
Biotechnology Progress,J,58,18,87
Chemical Research in Toxicology,J,68,0,61
Chemical Reviews,J,38,3,35
Chemistry of Materials,J,273,0,294
Crystal Growth &amp; Design,J,110,0,110
Energy &amp; Fuels,J,143,0,192
Environmental Science &amp; Technology,J,332,71,485
Industrial &amp; Engineering Chemistry Analytical Edition,J,0,0,56
Industrial &amp; Engineering Chemistry Fundamentals,J,0,0,15
Industrial &amp; Engineering Chemistry Process Design and Development,J,0,0,37
Industrial &amp; Engineering Chemistry Product Research and Development,J,0,0,1
Industrial &amp; Engineering Chemistry Research,J,291,0,267
Inorganic Chemistry,J,378,0,352
Journal of Agricultural and Food Chemistry,J,411,0,381
Journal of Chemical &amp; Engineering Data,J,124,1,439
Journal of Chemical Documentation,J,0,3,64
Journal of Chemical Information and Modeling,J,64,0,178
Journal of Chemical Theory and Computation,J,61,0,60
Journal of Combinatorial Chemistry,J,33,0,41
Journal of Medicinal Chemistry,J,181,0,183
Journal of Natural Products,J,132,0,189
Journal of Physical Chemistry,J,0,3,72
Journal of Physical Chemistry A,J,379,0,336
Journal of Physical Chemistry B,J,497,0,420
